Code	Code	weed.ab	weed	field	farm			
CO3B-F_S190_L001	CO3B-F_S190_L001	CO	Papaver rhoeas	3	organic		CO3B-F_S190_L001_R1.fastq	CO3B-F_S190_L001_R2.fastq
CO4B-F_S191_L001	CO4B-F_S191_L001	CO	Papaver rhoeas	4	organic		CO4B-F_S191_L001_R1.fastq	CO4B-F_S191_L001_R2.fastq
CO5B-F_S189_L001	CO5B-F_S189_L001	CO	Papaver rhoeas	5	organic		CO5B-F_S189_L001_R1.fastq	CO5B-F_S189_L001_R2.fastq
CO6B-F_S194_L001	CO6B-F_S194_L001	CO	Papaver rhoeas	6	organic		CO6B-F_S194_L001_R1.fastq	CO6B-F_S194_L001_R2.fastq
CO13B-F_S196_L001	CO13B-F_S196_L001	CO	Papaver rhoeas	13	organic		CO13B-F_S196_L001_R1.fastq	CO13B-F_S196_L001_R2.fastq
CO14B-F_S187_L001	CO14B-F_S187_L001	CO	Papaver rhoeas	14	organic		CO14B-F_S187_L001_R1.fastq	CO14B-F_S187_L001_R2.fastq
LP1B-F_S221_L001	LP1B-F_S221_L001	LP	Lamium purpureum	1	organic		LP1B-F_S221_L001_R1.fastq	LP1B-F_S221_L001_R2.fastq
LP3B-F_S228_L001	LP3B-F_S228_L001	LP	Lamium purpureum	3	organic		LP3B-F_S228_L001_R1.fastq	LP3B-F_S228_L001_R2.fastq
LP5B-F_S218_L001	LP5B-F_S218_L001	LP	Lamium purpureum	5	organic		LP5B-F_S218_L001_R1.fastq	LP5B-F_S218_L001_R2.fastq
LP7B-F_S224_L001	LP7B-F_S224_L001	LP	Lamium purpureum	7	organic		LP7B-F_S224_L001_R1.fastq	LP7B-F_S224_L001_R2.fastq
LP8B-F_S217_L001	LP8B-F_S217_L001	LP	Lamium purpureum	8	organic		LP8B-F_S217_L001_R1.fastq	LP8B-F_S217_L001_R2.fastq
LP9B-F_S219_L001	LP9B-F_S219_L001	LP	Lamium purpureum	9	organic		LP9B-F_S219_L001_R1.fastq	LP9B-F_S219_L001_R2.fastq
LP13B-F_S215_L001	LP13B-F_S215_L001	LP	Lamium purpureum	13	organic		LP13B-F_S215_L001_R1.fastq	LP13B-F_S215_L001_R2.fastq
LP14B-F_S222_L001	LP14B-F_S222_L001	LP	Lamium purpureum	14	organic		LP14B-F_S222_L001_R1.fastq	LP14B-F_S222_L001_R2.fastq
MAT1B-F_S213_L001	MAT1B-F_S213_L001	MA	Matricaria sp	1	organic		MAT1B-F_S213_L001_R1.fastq	MAT1B-F_S213_L001_R2.fastq
MAT3B-F_S211_L001	MAT3B-F_S211_L001	MA	Matricaria sp	3	organic		MAT3B-F_S211_L001_R1.fastq	MAT3B-F_S211_L001_R2.fastq
MAT5B-F_S199_L001	MAT5B-F_S199_L001	MA	Matricaria sp	5	organic		MAT5B-F_S199_L001_R1.fastq	MAT5B-F_S199_L001_R2.fastq
MAT6B-F_S209_L001	MAT6B-F_S209_L001	MA	Matricaria sp	6	organic		MAT6B-F_S209_L001_R1.fastq	MAT6B-F_S209_L001_R2.fastq
MAT7B-F_S207_L001	MAT7B-F_S207_L001	MA	Matricaria sp	7	organic		MAT7B-F_S207_L001_R1.fastq	MAT7B-F_S207_L001_R2.fastq
MAT8B-F_S216_L001	MAT8B-F_S216_L001	MA	Matricaria sp	8	organic		MAT8B-F_S216_L001_R1.fastq	MAT8B-F_S216_L001_R2.fastq
MAT9B-F_S214_L001	MAT9B-F_S214_L001	MA	Matricaria sp	9	organic		MAT9B-F_S214_L001_R1.fastq	MAT9B-F_S214_L001_R2.fastq
MAT13B-F_S205_L001	MAT13B-F_S205_L001	MA	Matricaria sp	13	organic		MAT13B-F_S205_L001_R1.fastq	MAT13B-F_S205_L001_R2.fastq
MAT14B-F_S201_L001	MAT14B-F_S201_L001	MA	Matricaria sp	14	organic		MAT14B-F_S201_L001_R1.fastq	MAT14B-F_S201_L001_R2.fastq
