code	ID	type	field	quadrats	Acer_rubrum	Acer_campestre	Acer_sp.	Achillea_millefolium	Agrostis_tennuis	Agrostis_stolonifera	Aguga_reptans	Aira_caryophyllea	Alnus_sp.	Alopecurus_geniculatus	Aphanes_arvensis	Arabidopsis_thaliana	Arenaria_serpyllifolia	Arrhenatherum_elatius	Artemisia_arvensis	Avena_fatua	Avena_sativa	Bellis_perenis	Betula_sp.	Brassica_napus	Briza_minor	Bromus_arvensis	Bromus_mollis	Bromus_sterilis	Bryonia_cretica	Cardamine_hirsuta	Calystegia_sepium	Caprinus_sp.	Capsella_bursa-pastoris	Castanea_sp.	Centaurae_nigra	Cerastium_fontanum	Cerastium_glomeratum	Chenopodium_album	Chenopodium_polyspermum	Cirsium_arvense	Cirsium_vulgare	Convolvulus_arvensis	Crepis_capillaris	Crepis_setosa	Cruciata_laevipes	Cytisus_scoparius	Dactylis_glomerata	Daucus_carota	Elymnus_repens	Epilobium_tetragonum	Epilobe_sp.	Fagopyrum_esculentum	Fallopia_convolvulus	Festuca_arrundinacea	Filago_arvensis	Fumaria_capreolata	Fumaria_muralis	Fumaria_parviflora	Fumaria_sp.	Galeopsis_tetrahit	Galium_aparine	Galium_crutiata	Galium_mollugo	Genista_tinctoria	Geranium_dissectum	Geranium_robertianum	Geranium_rotundifolium	Glechoma_hederacea	Hedera_helix	Hieracium_pilosella	Holcus_lanatus	Holcus_mollis	Hypericum_humifusum	Hypochaeris_radicata	Jasione_montana	Juncus_effusus	Juncus_bufonius	Kickxia_elatine	Lactuca_serriola	Lamium_purpureum	Lapsana_communis	Leontondon_sp.	Linaria_repens	Coronopus_didymus	Lolium_multiflorum	Lolium_perenne	Lotus_corniculatus	Lotus_subiflorus	Lysimachia_arvensis	Matricaria_sp.	Medicago_lupina	Medicago_polymorpha	Medicago_sativa	Mercurialis_annua	Montia_fontana	Myosotis_arvensis	Myosotis_coespitosa	Myosotis_sp.	Origanum_vulgare	Oxalis_fontana	Papaver_rhoeas	Phleum_pratense	Pimpinella_major	Pisum_sativum	Plantago_lanceolata	Plantago_major	Poa_annua	Poa_trivialis	Polygonum_aviculare	Polygonum_persicaria	Potentilla_reptens	Potentilla_sterilis	Prunus_avium	Prunus_domestica	Prunus_sp.	Pteridium_sp.	Quercus_sp.	Ranunculus_acris	Ranunculus_bulbosus	Ranunculus_flamula	Ranunculus_repens	Ranunculus_sardous	Ranunculus_sp.	Raphanum_raphanistrum	Rosa_canina	Rubus_fructicosus	Rubus_sp.	Rumex_acetosa	Rumex_acetosela	Rumex_crispus	Rumex_obtusifolius	Sedium_telephium	Senecio_vulgaris	Sherardia_arvensis	Silene_galica	Silene_latifolia	Sinapis_arvensis	Solanum_tuberosum	Solanum_nigrum	Sonchus_arvensis	Sonchus_asper	Sonchus_oleraceus	Sonchus_sp.	Spergula_arvensis	Stachys_arvensis	Stellaria_graminea	Stellaria_holostea	Stellaria_media	Sisymbrium_officinale	Taraxacum_officinale	Teucrium_scorodonia	Torilis_arvensis	Trifolium_arvense	Trifolium_campestre	Trifolium_dubium	Trifolium_ochroleucon	Trifolium_pratense	Trifolium_repens	Ulex_major	Urtica_dioica	Valerianella_locusta	Veronica_arvensis	Veronica_hederifolia	Veronica_persica	Veronica_serpillifolia	Veronica_sp.	Vicia_cracca	Vicia_faba	Vicia_hirsuta	Vicia_sativa	Vicia_tetrasperma	Viscum_album	Viola_arvensis	Vulpia_bromoides	Vulpia_myores	Plante_inconnue_1	Plante_inconnue2	Plante_inconnue3	Plante_inconnue_4	Plante_inconnue5	Plante_inconnue6
1ACB10M	1AC	conventional	1	B10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ACB20M	1AC	conventional	1	B20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ACB30M	1AC	conventional	1	B30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ACC1	1AC	conventional	1	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ACC2	1AC	conventional	1	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ACC3	1AC	conventional	1	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ACC4	1AC	conventional	1	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ACC5	1AC	conventional	1	C5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ACC6	1AC	conventional	1	C6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ACH10M	1AC	conventional	1	H10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
