sample	ID	type	field	Parcelle	local	quadrats	code	Espece	Abond.per
17	10AC	conventional	10	P	Bh	ARBO	10ACconventional10Bh	Acer campestre	10
3164	10AC	conventional	10	P	Bh	Q4	10ACconventional10Bh	Acer campestre	3
4573	10AC	conventional	10	P	Bh	Q6	10ACconventional10Bh	Acer campestre	1
22	12AC	conventional	12	P	Bh	ARBO	12ACconventional12Bh	Acer campestre	50
412	12AC	conventional	12	P	Bh	Q1	12ACconventional12Bh	Acer campestre	2
1823	12AC	conventional	12	P	Bh	Q2	12ACconventional12Bh	Acer campestre	5
3197	12AC	conventional	12	P	Bh	Q4	12ACconventional12Bh	Acer campestre	3
3895	12AC	conventional	12	P	Bh	Q5	12ACconventional12Bh	Acer campestre	2
4609	12AC	conventional	12	P	Bh	Q6	12ACconventional12Bh	Acer campestre	2
5269	12AC	conventional	12	P	Bh	Q7	12ACconventional12Bh	Acer campestre	1
6621	12AC	conventional	12	P	Bh	Q9	12ACconventional12Bh	Acer campestre	7
35	19AC	conventional	19	P	Bh	ARBO	19ACconventional19Bh	Acer campestre	5
166	19AC	conventional	19	P	Bh	ARBU	19ACconventional19Bh	Acer campestre	20
102	2AC	conventional	2	P	Bh	ARBU	2ACconventional2Bh	Acer campestre	30
14	8AC	conventional	8	P	Bh	ARBO	8ACconventional8Bh	Acer campestre	80
130	8AC	conventional	8	P	Bh	ARBU	8ACconventional8Bh	Acer campestre	50
1056	8AC	conventional	8	P	Bh	Q10	8ACconventional8Bh	Acer campestre	5
1760	8AC	conventional	8	P	Bh	Q2	8ACconventional8Bh	Acer campestre	25
2455	8AC	conventional	8	P	Bh	Q3	8ACconventional8Bh	Acer campestre	10
3134	8AC	conventional	8	P	Bh	Q4	8ACconventional8Bh	Acer campestre	5
5891	8AC	conventional	8	P	Bh	Q8	8ACconventional8Bh	Acer campestre	2
6563	8AC	conventional	8	P	Bh	Q9	8ACconventional8Bh	Acer campestre	5
75	15ABM1	organic	15	M	Bh	ARBO	15ABM1organic15Bh	Acer campestre	10
83	16ABM	organic	16	M	Bh	ARBO	16ABMorganic16Bh	Acer campestre	30
2921	16ABM	organic	16	M	Bh	Q3	16ABMorganic16Bh	Acer campestre	1
4315	16ABM	organic	16	M	Bh	Q5	16ABMorganic16Bh	Acer campestre	3
42	1ABP	organic	1	P	Bh	ARBO	1ABPorganic1Bh	Acer campestre	60
176	1ABP	organic	1	P	Bh	ARBU	1ABPorganic1Bh	Acer campestre	1
2654	1ABP	organic	1	P	Bh	Q3	1ABPorganic1Bh	Acer campestre	1
3331	1ABP	organic	1	P	Bh	Q4	1ABPorganic1Bh	Acer campestre	3
4029	1ABP	organic	1	P	Bh	Q5	1ABPorganic1Bh	Acer campestre	2
5393	1ABP	organic	1	P	Bh	Q7	1ABPorganic1Bh	Acer campestre	1
49	3ABP	organic	3	P	Bh	ARBO	3ABPorganic3Bh	Acer campestre	20
181	3ABP	organic	3	P	Bh	ARBU	3ABPorganic3Bh	Acer campestre	10
1272	3ABP	organic	3	P	Bh	Q10	3ABPorganic3Bh	Acer campestre	3
6796	3ABP	organic	3	P	Bh	Q9	3ABPorganic3Bh	Acer campestre	2
207	9ABP	organic	9	P	Bh	ARBU	9ABPorganic9Bh	Acer campestre	50
1380	9ABP	organic	9	P	Bh	Q10	9ABPorganic9Bh	Acer campestre	2
5528	9ABP	organic	9	P	Bsh	Q7	9ABPorganic9Bsh	Acer campestre	5
246	1AC	conventional	1	P	Bh	Q1	1ACconventional1Bh	Achillea millefolium	5
382	10AC	conventional	10	P	Bsh	Q1	10ACconventional10Bsh	Achillea millefolium	5
1085	10AC	conventional	10	P	Bsh	Q10	10ACconventional10Bsh	Achillea millefolium	3
1792	10AC	conventional	10	P	Bsh	Q2	10ACconventional10Bsh	Achillea millefolium	2
2483	10AC	conventional	10	P	Bsh	Q3	10ACconventional10Bsh	Achillea millefolium	5
3165	10AC	conventional	10	P	Bsh	Q4	10ACconventional10Bsh	Achillea millefolium	3
3859	10AC	conventional	10	P	Bsh	Q5	10ACconventional10Bsh	Achillea millefolium	5
5912	10AC	conventional	10	P	Bsh	Q8	10ACconventional10Bsh	Achillea millefolium	2
4618	13AC	conventional	13	P	Bsh	Q6	13ACconventional13Bsh	Achillea millefolium	25
1890	18AC	conventional	18	P	Bsh	Q2	18ACconventional18Bsh	Achillea millefolium	3
960	2AC	conventional	2	P	Bsh	Q10	2ACconventional2Bsh	Achillea millefolium	2
3047	2AC	conventional	2	P	Bsh	Q4	2ACconventional2Bsh	Achillea millefolium	2
283	3AC	conventional	3	P	Bsh	Q1	3ACconventional3Bsh	Achillea millefolium	3
982	3AC	conventional	3	P	Bsh	Q10	3ACconventional3Bsh	Achillea millefolium	0.5
1692	3AC	conventional	3	P	Bsh	Q2	3ACconventional3Bsh	Achillea millefolium	5
2384	3AC	conventional	3	P	Bsh	Q3	3ACconventional3Bsh	Achillea millefolium	3
3766	3AC	conventional	3	P	Bsh	Q5	3ACconventional3Bsh	Achillea millefolium	10
5150	3AC	conventional	3	P	Bsh	Q7	3ACconventional3Bsh	Achillea millefolium	2
6498	3AC	conventional	3	P	Bsh	Q9	3ACconventional3Bsh	Achillea millefolium	5
3085	4AC	conventional	4	P	Bsh	Q4	4ACconventional4Bsh	Achillea millefolium	10
339	7AC	conventional	7	P	Bsh	Q1	7ACconventional7Bsh	Achillea millefolium	2
1043	7AC	conventional	7	P	Bsh	Q10	7ACconventional7Bsh	Achillea millefolium	2
353	8AC	conventional	8	P	Bsh	Q1	8ACconventional8Bsh	Achillea millefolium	2
2456	8AC	conventional	8	P	Bsh	Q3	8ACconventional8Bsh	Achillea millefolium	2
2838	11ABM	organic	11	M	Bh	Q3	11ABMorganic11Bh	Achillea millefolium	2
1465	13ABP	organic	13	P	Bsh	Q10	13ABPorganic13Bsh	Achillea millefolium	3
2886	14ABP	organic	14	P	Bsh	Q3	14ABPorganic14Bsh	Achillea millefolium	2
1273	3ABP	organic	3	P	Bsh	Q10	3ABPorganic3Bsh	Achillea millefolium	5
2010	3ABP	organic	3	P	Bsh	Q2	3ABPorganic3Bsh	Achillea millefolium	1
2696	3ABP	organic	3	P	Bsh	Q3	3ABPorganic3Bsh	Achillea millefolium	2
3389	3ABP	organic	3	P	Bsh	Q4	3ABPorganic3Bsh	Achillea millefolium	2
5434	3ABP	organic	3	P	Bsh	Q7	3ABPorganic3Bsh	Achillea millefolium	2
6797	3ABP	organic	3	P	Bsh	Q9	3ABPorganic3Bsh	Achillea millefolium	5
2037	4ABP	organic	4	P	Bsh	Q2	4ABPorganic4Bsh	Achillea millefolium	5
3412	4ABP	organic	4	P	Bsh	Q4	4ABPorganic4Bsh	Achillea millefolium	5
4100	4ABP	organic	4	P	Bsh	Q5	4ABPorganic4Bsh	Achillea millefolium	5
6829	4ABP	organic	4	P	Bsh	Q9	4ABPorganic4Bsh	Achillea millefolium	5
5476	5ABP	organic	5	P	Bsh	Q7	5ABPorganic5Bsh	Achillea millefolium	5
1028	6AC	conventional	6	P	Bh	Q10	6ACconventional6Bh	Aethusa cynapium	3
5867	6AC	conventional	6	P	Bh	Q8	6ACconventional6Bh	Aethusa cynapium	2
6001	18AC	conventional	18	P	Bh	Q8	18ACconventional18Bh	Agrostis canina	10
6696	18AC	conventional	18	P	Bh	Q9	18ACconventional18Bh	Agrostis canina	10
961	2AC	conventional	2	P	Bh	Q10	2ACconventional2Bh	Agrostis canina	3
490	18AC	conventional	18	P	Bsh	Q1	18ACconventional18Bsh	Agrostis canina	50
1183	18AC	conventional	18	P	Bsh	Q10	18ACconventional18Bsh	Agrostis canina	3
1891	18AC	conventional	18	P	Bsh	Q2	18ACconventional18Bsh	Agrostis canina	15
3277	18AC	conventional	18	P	Bsh	Q4	18ACconventional18Bsh	Agrostis canina	25
3967	18AC	conventional	18	P	Bsh	Q5	18ACconventional18Bsh	Agrostis canina	15
4674	18AC	conventional	18	P	Bsh	Q6	18ACconventional18Bsh	Agrostis canina	5
6002	18AC	conventional	18	P	Bsh	Q8	18ACconventional18Bsh	Agrostis canina	15
3744	2AC	conventional	2	P	Bsh	Q5	2ACconventional2Bsh	Agrostis canina	2
5795	2AC	conventional	2	P	Bsh	Q8	2ACconventional2Bsh	Agrostis canina	7
4153	8ABP	organic	8	P	Bh	Q5	8ABPorganic8Bh	Agrostis canina	5
4846	8ABP	organic	8	P	Bh	Q6	8ABPorganic8Bh	Agrostis canina	1
6883	8ABP	organic	8	P	Bh	Q9	8ABPorganic8Bh	Agrostis canina	5
601	3ABP	organic	3	P	Bsh	Q1	3ABPorganic3Bsh	Agrostis canina	25
1274	3ABP	organic	3	P	Bsh	Q10	3ABPorganic3Bsh	Agrostis canina	3
2697	3ABP	organic	3	P	Bsh	Q3	3ABPorganic3Bsh	Agrostis canina	5
3390	3ABP	organic	3	P	Bsh	Q4	3ABPorganic3Bsh	Agrostis canina	5
4073	3ABP	organic	3	P	Bsh	Q5	3ABPorganic3Bsh	Agrostis canina	5
4777	3ABP	organic	3	P	Bsh	Q6	3ABPorganic3Bsh	Agrostis canina	5
6108	3ABP	organic	3	P	Bsh	Q8	3ABPorganic3Bsh	Agrostis canina	5
3245	15AC	conventional	15	P	Bh	Q4	15ACconventional15Bh	Agrostis capillaris	10
3933	15AC	conventional	15	P	Bh	Q5	15ACconventional15Bh	Agrostis capillaris	5
511	19AC	conventional	19	P	Bh	Q1	19ACconventional19Bh	Agrostis capillaris	2
247	1AC	conventional	1	P	Bh	Q1	1ACconventional1Bh	Agrostis capillaris	10
1656	1AC	conventional	1	P	Bh	Q2	1ACconventional1Bh	Agrostis capillaris	15
5122	1AC	conventional	1	P	Bh	Q7	1ACconventional1Bh	Agrostis capillaris	2
5781	1AC	conventional	1	P	Bh	Q8	1ACconventional1Bh	Agrostis capillaris	15
6455	1AC	conventional	1	P	Bh	Q9	1ACconventional1Bh	Agrostis capillaris	40
983	3AC	conventional	3	P	Bh	Q10	3ACconventional3Bh	Agrostis capillaris	100
3070	3AC	conventional	3	P	Bh	Q4	3ACconventional3Bh	Agrostis capillaris	20
3767	3AC	conventional	3	P	Bh	Q5	3ACconventional3Bh	Agrostis capillaris	30
5151	3AC	conventional	3	P	Bh	Q7	3ACconventional3Bh	Agrostis capillaris	15
6499	3AC	conventional	3	P	Bh	Q9	3ACconventional3Bh	Agrostis capillaris	5
367	9AC	conventional	9	P	Bh	Q1	9ACconventional9Bh	Agrostis capillaris	3
1086	10AC	conventional	10	P	Bsh	Q10	10ACconventional10Bsh	Agrostis capillaris	1
413	12AC	conventional	12	P	Bsh	Q1	12ACconventional12Bsh	Agrostis capillaris	10
1824	12AC	conventional	12	P	Bsh	Q2	12ACconventional12Bsh	Agrostis capillaris	5
2514	12AC	conventional	12	P	Bsh	Q3	12ACconventional12Bsh	Agrostis capillaris	3
3198	12AC	conventional	12	P	Bsh	Q4	12ACconventional12Bsh	Agrostis capillaris	2
3896	12AC	conventional	12	P	Bsh	Q5	12ACconventional12Bsh	Agrostis capillaris	20
2542	14AC	conventional	14	P	Bsh	Q3	14ACconventional14Bsh	Agrostis capillaris	10
3225	14AC	conventional	14	P	Bsh	Q4	14ACconventional14Bsh	Agrostis capillaris	10
4635	14AC	conventional	14	P	Bsh	Q6	14ACconventional14Bsh	Agrostis capillaris	3
5295	14AC	conventional	14	P	Bsh	Q7	14ACconventional14Bsh	Agrostis capillaris	3
1915	19AC	conventional	19	P	Bsh	Q2	19ACconventional19Bsh	Agrostis capillaris	1
3985	19AC	conventional	19	P	Bsh	Q5	19ACconventional19Bsh	Agrostis capillaris	10
944	1AC	conventional	1	P	Bsh	Q10	1ACconventional1Bsh	Agrostis capillaris	10
1657	1AC	conventional	1	P	Bsh	Q2	1ACconventional1Bsh	Agrostis capillaris	5
6456	1AC	conventional	1	P	Bsh	Q9	1ACconventional1Bsh	Agrostis capillaris	15
536	22AC	conventional	22	P	Bsh	Q1	22ACconventional22Bsh	Agrostis capillaris	50
284	3AC	conventional	3	P	Bsh	Q1	3ACconventional3Bsh	Agrostis capillaris	20
984	3AC	conventional	3	P	Bsh	Q10	3ACconventional3Bsh	Agrostis capillaris	50
1693	3AC	conventional	3	P	Bsh	Q2	3ACconventional3Bsh	Agrostis capillaris	40
2385	3AC	conventional	3	P	Bsh	Q3	3ACconventional3Bsh	Agrostis capillaris	15
3071	3AC	conventional	3	P	Bsh	Q4	3ACconventional3Bsh	Agrostis capillaris	5
4475	3AC	conventional	3	P	Bsh	Q6	3ACconventional3Bsh	Agrostis capillaris	30
5152	3AC	conventional	3	P	Bsh	Q7	3ACconventional3Bsh	Agrostis capillaris	50
5821	3AC	conventional	3	P	Bsh	Q8	3ACconventional3Bsh	Agrostis capillaris	5
6500	3AC	conventional	3	P	Bsh	Q9	3ACconventional3Bsh	Agrostis capillaris	40
315	5AC	conventional	5	P	Bsh	Q1	5ACconventional5Bsh	Agrostis capillaris	10
1722	5AC	conventional	5	P	Bsh	Q2	5ACconventional5Bsh	Agrostis capillaris	5
4516	5AC	conventional	5	P	Bsh	Q6	5ACconventional5Bsh	Agrostis capillaris	2
326	6AC	conventional	6	P	Bsh	Q1	6ACconventional6Bsh	Agrostis capillaris	35
1029	6AC	conventional	6	P	Bsh	Q10	6ACconventional6Bsh	Agrostis capillaris	10
1735	6AC	conventional	6	P	Bsh	Q2	6ACconventional6Bsh	Agrostis capillaris	60
1068	9AC	conventional	9	P	Bsh	Q10	9ACconventional9Bsh	Agrostis capillaris	2
5227	9AC	conventional	9	P	Bsh	Q7	9ACconventional9Bsh	Agrostis capillaris	2
5901	9AC	conventional	9	P	Bsh	Q8	9ACconventional9Bsh	Agrostis capillaris	10
6572	9AC	conventional	9	P	Bsh	Q9	9ACconventional9Bsh	Agrostis capillaris	5
1407	10ABM	organic	10	M	Bh	Q10	10ABMorganic10Bh	Agrostis capillaris	2
6250	11ABM	organic	11	M	Bh	Q8	11ABMorganic11Bh	Agrostis capillaris	5
4921	12ABP	organic	12	P	Bh	Q6	12ABPorganic12Bh	Agrostis capillaris	20
1492	14ABP	organic	14	P	Bh	Q10	14ABPorganic14Bh	Agrostis capillaris	2
