OTU	Phylum	Subphylum	Order	Class	Family	Genus	Species	taxon	trophicMode	guild	confidenceRanking	citationSource
Cluster_107	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	undefined	uncultured__Glomus	Glomeraceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_11	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	undefined	uncultured__Rozella	uncultured__Rozella	Symbiotroph	na	na	na
Cluster_112	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	Multi-affiliation	Multi-affiliation	Glomeraceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_13	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_134	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__allomycis	Rozella	Symbiotroph	na	na	na
Cluster_14	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_15	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_163	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Marcelleina	Marcelleina__tuberculispora	Marcelleina	Symbiotroph	Ectomycorrhizal	Highly Probable	"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x))"
Cluster_170	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	undefined	uncultured__Glomus	Glomeraceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_18	Glomeromycota	undefined	undefined	undefined	undefined	undefined	Multi-affiliation	Glomeromycota	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_188	Glomeromycota	undefined	undefined	undefined	undefined	undefined	Multi-affiliation	Glomeromycota	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_207	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	undefined	uncultured__Rozella	uncultured__Rozella	Symbiotroph	na	na	na
Cluster_234	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_282	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_293	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_320	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pezizaceae	Sarcosphaera	Sarcosphaera__crassa	Sarcosphaera	Symbiotroph	Ectomycorrhizal	Highly Probable	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
Cluster_33	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__allomycis	Rozella	Symbiotroph	na	na	na
Cluster_349	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	undefined	uncultured__Glomus	Glomeraceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_358	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__allomycis	Rozella	Symbiotroph	na	na	na
Cluster_378	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_39	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_410	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_43	Zygomycota	Mucoromycotina	undefined	Endogonales	Endogonaceae	Endogone	Multi-affiliation	Endogone	Symbiotroph	Ectomycorrhizal	Probable	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
Cluster_5	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_52	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_556	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	undefined	uncultured__Rozella	uncultured__Rozella	Symbiotroph	na	na	na
Cluster_69	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Glomeromycota	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_78	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Glomeromycota	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_91	Glomeromycota	undefined	undefined	undefined	undefined	undefined	uncultured__Glomeromycota	Glomeromycota	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_101	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Exidiaceae	Exidia	Exidia__uvapsassa	Exidia	Saprotroph-Symbiotroph	Endophyte-Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))"
Cluster_196	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella	Mortierella__wolfii	Mortierella	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
Cluster_21	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella	Mortierella__wolfii	Mortierella	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
