Code	Cluster_5	Cluster_7	Cluster_18	Cluster_29	Cluster_31	Cluster_47	Cluster_66	Cluster_67	Cluster_69	Cluster_101	Cluster_139	Cluster_186	Cluster_196	Cluster_292	Cluster_306	Cluster_307	Cluster_313	Cluster_314	Cluster_316	Cluster_332	Cluster_337	Cluster_360	Cluster_375	Cluster_385	Cluster_405	Cluster_420	Cluster_488	Cluster_528	Cluster_564	Cluster_707	Cluster_828	Cluster_2	Cluster_9	Cluster_54	Cluster_58	Cluster_113	Cluster_154	Cluster_168	Cluster_180	Cluster_233	Cluster_283	Cluster_298	Cluster_350	Cluster_390	Cluster_396	Cluster_408	Cluster_410	Cluster_622	Cluster_722	Cluster_296	Cluster_311	Cluster_440	Cluster_72	Cluster_258	Cluster_482	Cluster_527	Cluster_70	Cluster_128	Cluster_129	Cluster_276	Cluster_733	Cluster_53	Cluster_90	Cluster_209	Cluster_27	Cluster_140	Cluster_325	Cluster_456	Cluster_19	Cluster_73	Cluster_79	Cluster_81	Cluster_85	Cluster_127	Cluster_131	Cluster_163	Cluster_181	Cluster_198	Cluster_268	Cluster_269	Cluster_320	Cluster_377	Cluster_469	Cluster_490	Cluster_687	Cluster_4	Cluster_10	Cluster_45	Cluster_57	Cluster_84	Cluster_89	Cluster_110	Cluster_114	Cluster_138	Cluster_141	Cluster_144	Cluster_171	Cluster_201	Cluster_212	Cluster_217	Cluster_238	Cluster_252	Cluster_259	Cluster_285	Cluster_287	Cluster_340	Cluster_353	Cluster_379	Cluster_391	Cluster_433	Cluster_439	Cluster_442	Cluster_466	Cluster_481	Cluster_504	Cluster_579	Cluster_719	Cluster_611	Cluster_322	Cluster_22	Cluster_374	Cluster_1	Cluster_20	Cluster_48	Cluster_49	Cluster_60	Cluster_74	Cluster_107	Cluster_108	Cluster_112	Cluster_117	Cluster_120	Cluster_137	Cluster_177	Cluster_187	Cluster_193	Cluster_224	Cluster_271	Cluster_272	Cluster_273	Cluster_295	Cluster_299	Cluster_335	Cluster_347	Cluster_356	Cluster_389	Cluster_392	Cluster_393	Cluster_402	Cluster_409	Cluster_426	Cluster_437	Cluster_448	Cluster_468	Cluster_485	Cluster_557	Cluster_736	Cluster_774	Cluster_815	Cluster_50	Cluster_149	Cluster_167	Cluster_229	Cluster_82	Cluster_95	Cluster_135	Cluster_200	Cluster_215	Cluster_226	Cluster_280	Cluster_363	Cluster_413	Cluster_431	Cluster_16	Cluster_26	Cluster_34	Cluster_46	Cluster_68	Cluster_94	Cluster_152	Cluster_155	Cluster_156	Cluster_185	Cluster_210	Cluster_236	Cluster_239	Cluster_260	Cluster_267	Cluster_279	Cluster_282	Cluster_300	Cluster_317	Cluster_330	Cluster_331	Cluster_354	Cluster_365	Cluster_427	Cluster_464	Cluster_473	Cluster_513	Cluster_625	Cluster_28	Cluster_38	Cluster_134	Cluster_136	Cluster_160	Cluster_190	Cluster_234	Cluster_366	Cluster_401	Cluster_24	Cluster_76	Cluster_122	Cluster_158	Cluster_162	Cluster_178	Cluster_222	Cluster_243	Cluster_358	Cluster_480	Cluster_500	Cluster_901	Cluster_174	Cluster_221	Cluster_580	Cluster_62	Cluster_71	Cluster_88	Cluster_151	Cluster_184	Cluster_199	Cluster_223	Cluster_225	Cluster_237	Cluster_250	Cluster_302	Cluster_304	Cluster_371	Cluster_430	Cluster_462	Cluster_607	Cluster_794	Cluster_115	Cluster_150	Cluster_179	Cluster_218	Cluster_251	Cluster_253	Cluster_254	Cluster_336	Cluster_406	Cluster_438	Cluster_42	Cluster_64	Cluster_87	Cluster_125	Cluster_145	Cluster_203	Cluster_214	Cluster_232	Cluster_286	Cluster_288	Cluster_291	Cluster_345	Cluster_369	Cluster_411	Cluster_453	Cluster_467	Cluster_552	Cluster_257	Cluster_36	Cluster_86	Cluster_99	Cluster_142	Cluster_211	Cluster_334	Cluster_362	Cluster_383	Cluster_425	Cluster_688	Cluster_820	Cluster_911	Cluster_8	Cluster_59	Cluster_75	Cluster_172	Cluster_182	Cluster_281	Cluster_344	Cluster_638	Cluster_380	Cluster_465	Cluster_23	Cluster_173	Cluster_227	Cluster_80	Cluster_202	Cluster_3	Cluster_11	Cluster_12	Cluster_30	Cluster_33	Cluster_40	Cluster_56	Cluster_61	Cluster_65	Cluster_100	Cluster_102	Cluster_103	Cluster_104	Cluster_119	Cluster_146	Cluster_148	Cluster_166	Cluster_189	Cluster_191	Cluster_197	Cluster_213	Cluster_228	Cluster_231	Cluster_240	Cluster_249	Cluster_263	Cluster_265	Cluster_266	Cluster_270	Cluster_293	Cluster_294	Cluster_301	Cluster_305	Cluster_342	Cluster_346	Cluster_348	Cluster_373	Cluster_388	Cluster_397	Cluster_419	Cluster_428	Cluster_432	Cluster_441	Cluster_449	Cluster_460	Cluster_474	Cluster_487	Cluster_531	Cluster_537	Cluster_541	Cluster_586	Cluster_648	Cluster_713	Cluster_753	Cluster_821	Cluster_118	Cluster_310	Cluster_447	Cluster_470
CO3B-F_S190_L001	72	18	1	103	0	0	1	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2852	1	0	0	0	55	3	1	0	0	0	0	16	0	0	0	0	6	0	0	0	0	0	14	0	2	11	2	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	32	1	1463	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	34	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	16	16	3	0	0	1	0	0	0	51	1	0	0	3	0	2	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	5	0	0	0	0	0	0	0	0	0	37	3	0	0	0	0	0	0	10	0	2	0	0	989	955	188	683	0	0	0	0	0	0	32	0	21	0	1	8	2	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	1	0	0	0	0
CO4B-F_S191_L001	16	108	71	96	0	44	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	720	106	115	0	1	30	0	2	0	0	0	0	0	3	0	0	0	4	0	0	3	0	0	0	1	38	0	11	0	0	8	12	0	64	4	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1068	0	1	566	0	0	57	0	0	1	0	0	2	0	2	0	0	10	0	1	0	10	0	13	0	0	4	0	0	0	0	0	0	109	46	3	1233	0	41	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	5	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	9	29	0	0	16	0	1	0	0	0	0	0	0	0	3	1	27	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	79	2	67	10	0	0	0	0	0	96	19	0	0	0	0	0	0	6	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	9	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	3	0	0	113	185	2453	1	27	1	13	1	0	0	5	0	3	0	34	1	23	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	18	0	2	36	0
CO5B-F_S189_L001	510	89	27	21	23	30	23	10	67	9	50	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	643	874	0	41	0	14	7	19	0	1	0	0	0	21	0	1	5	4	0	0	0	0	0	0	0	4	0	9	0	0	30	18	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	313	231	72	1	0	0	64	0	8	5	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	3457	17	44	31	11	0	0	1	1	7	0	2	1	1	1	0	0	0	0	0	21	0	1	0	2	0	0	0	0	0	1	0	5	0	0	0	1	0	9	1	2	5	24	0	0	0	0	0	4	3	0	0	0	3	41	1	0	0	0	0	0	13	0	0	0	0	10	0	7	4	0	0	0	0	0	0	0	0	1	0	49	2	26	8	0	1	0	0	0	13	4	17	0	6	0	0	0	0	3	0	0	0	3	0	10	1	12	45	9	1	0	0	9	0	3	0	0	0	0	0	0	131	2	0	5	0	0	0	0	0	0	115	0	0	0	4	0	0	0	2	0	0	0	0	0	0	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	48	0	0	1	466	0	1	0	0	0	0	0	0	1	0	16	10	0	32	0	0	13	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO6B-F_S194_L001	799	80	420	9	22	3	9	28	2	1	0	0	22	0	0	0	0	0	0	0	0	0	0	1	2	1	0	8	0	0	0	370	52	56	6	0	7	18	1	0	0	0	1	0	0	0	0	0	0	0	34	0	0	0	1	3	76	5	1	0	0	34	6	0	46	1	0	0	5	1	0	0	17	0	0	0	10	0	0	0	0	2	13	1	0	673	3	0	0	0	9	0	0	1	0	0	1	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1748	172	29	0	0	0	1	2	1	1	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	4	14	1	0	1	0	57	2	0	0	4	0	0	0	0	0	2	0	0	0	6	0	126	0	0	0	4	0	0	1	0	0	0	0	4	0	0	16	0	0	0	31	0	0	0	0	2	0	30	97	0	0	0	2	0	1	0	21	0	0	6	2	0	0	3	0	0	0	0	4	0	0	4	61	11	0	0	0	2	0	0	0	4	0	0	0	0	0	0	11	2	0	6	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	2	21	0	23	9	10	0	0	0	1	0	0	0	0	322	17	0	7	0	1	2	0	0	36	0	0	0	44	403	1272	168	106	139	11	34	0	0	0	12	42	14	7	1	2	2	0	0	0	0	0	0	0	3	0	0	0	0	3	0	4	4	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	4	1	1	0	0	7	0	0
CO13B-F_S196_L001	357	482	1	0	0	12	18	9	3	29	2	0	62	0	0	0	1	1	0	0	0	0	0	0	3	0	0	2	0	0	0	987	40	13	4	0	21	7	5	0	2	0	0	0	0	0	0	0	5	1	0	0	4	0	1	2	7	13	1	2	0	24	3	0	27	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	303	9	1	48	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	18	0	1	2	1	0	0	1	0	0	0	0	1	1	0	1	0	1857	7	57	4	1	0	13	3	0	27	0	12	0	0	0	0	2	0	0	0	0	17	1	0	0	0	0	3	0	3	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	6	91	6	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	29	3	0	0	0	0	0	0	0	53	1	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	9	6	0	2	0	0	0	0	0	1	0	0	751	3	1	12	39	19	12	4	0	0	0	0	0	0	0	496	535	24	60	109	485	78	317	3	2	29	0	22	1	0	9	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	5	0	0	0	12	0	0	11	2	1	0	0	255	0	0	0
CO14B-F_S187_L001	1273	59	607	2	7	1	18	0	9	2	24	1	11	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	60	736	0	45	0	1	25	1	0	1	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	377	0	0	0	24	0	0	18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	11	0	15	0	0	3433	298	41	0	0	0	2	14	8	0	0	2	0	9	2	7	2	0	0	0	37	0	0	0	0	6	0	0	0	0	2	0	20	0	0	0	0	0	0	5	0	0	49	0	0	0	0	0	5	0	0	0	13	1	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	7	1	0	0	0	1	0	1	0	0	0	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	43	16	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	4	0	4	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	1	0	397	0	0	0	0	0	0	0	0	0	0	2	9	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	3	0	0	0	0
LP1B-F_S221_L001	276	28	3	40	11	0	14	0	8	1	0	1	0	0	0	0	0	2	0	0	0	165	0	0	0	0	0	0	1	8	0	73	2	1	20	0	5	27	0	0	0	0	0	6	0	0	1	0	4	1	0	1	0	0	0	0	8	0	122	0	1	1	0	0	0	0	0	0	402	3	0	0	0	0	0	0	0	1	0	49	6	1	0	0	0	44	98	1	0	2	0	0	4	7	0	0	0	1	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1881	0	151	6	0	0	1	1	0	3	0	1	5	0	27	0	3	0	0	10	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	8	6	0	0	22	0	0	0	0	0	2	0	0	0	0	26	16	1	0	0	0	0	0	3	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	4	0	37	15	2	0	0	1	0	0	0	70	14	0	0	0	1	3	0	10	1	1	0	0	6	0	1	0	12	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	3844	0	0	0	34	0	1	0	171	0	0	0	0	0	0	0	40	0	3	6	0	0	0	1	0	0	0	0	0	0	1	6	6	0	0	0	0	0	0	1	42	0	0	7	0	4	2	89	7	0	0	0	0	0	0	0	2	0	1	4	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0
LP3B-F_S228_L001	232	58	23	38	11	3	10	1	14	3	8	0	14	0	0	0	0	3	0	3	0	0	0	6	0	3	0	1	0	0	1	2226	201	127	21	0	24	1	25	0	2	0	0	0	3	0	0	0	2	7	3	0	0	0	0	2	38	3	2	0	0	20	10	0	192	16	3	3	0	2	28	29	42	0	4	0	0	0	0	0	0	1	0	1	0	245	21	0	580	6	17	3	0	1	3	0	0	3	2	1	0	0	3	1	2	0	5	0	25	0	0	0	0	0	0	0	0	1	0	8	2	2434	15	29	8	1	0	0	1	1	2	10	0	1	0	3	1	6	1	1	0	0	3	17	0	5	0	0	0	0	0	1	0	0	4	0	1	0	0	19	4	0	4	24	0	17	2	0	1	1	0	0	0	10	4	69	26	6	0	0	0	0	5	0	0	0	4	3	0	0	5	0	0	0	0	4	0	0	0	3	0	71	5	0	5	0	0	0	0	0	114	45	0	6	1	8	12	0	5	1	1	0	8	2	1	17	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	2	0	0	0	0	2	0	2	0	1	0	0	0	1	0	1	0	52	7	19	0	2	3	0	0	1	0	54	0	0	0	0	73	46	131	9	14	14	15	64	7	4	7	41	6	25	9	1	5	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0
LP5B-F_S218_L001	141	55	2217	2	9	4	3	4	6	9	2	1	9	0	3	0	0	0	0	1	0	1	0	6	0	1	0	0	0	0	0	1845	31	49	6	0	28	1	6	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	1	0	0	3	2	0	0	7	11	0	25	4	0	0	0	5	0	9	0	0	0	0	126	0	0	0	0	0	0	0	0	158	40	1	0	7	5	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	2255	2	14	6	0	0	2	2	29	4	0	1	0	24	1	0	1	0	0	0	0	0	2	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	13	8	6	2	9	0	1	0	0	0	0	0	0	0	2	0	77	2	0	0	0	0	0	6	0	0	0	0	1	0	0	10	0	0	3	0	2	0	0	0	1	0	31	59	5	8	0	7	0	2	1	45	11	0	5	1	4	3	2	1	1	0	0	0	2	0	32	2	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1	8	0	0	0	16	0	4	0	0	8	0	25	0	1	0	0	0	0	2	0	8	0	0	5	0	2	0	0	0	0	0	3	0	0	0	1	3	0	0	1	0	0	0	0	0	27	2	0	0	0	12	139	166	5	2	27	0	0	0	0	9	6	5	0	10	2	6	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	0	0
LP7B-F_S224_L001	292	56	137	63	29	0	9	17	13	1	9	0	9	0	0	0	0	5	0	1	0	0	1	0	0	0	0	1	0	2	0	2001	140	5	5	0	27	0	6	0	1	0	0	7	2	0	0	0	0	0	0	7	0	0	1	0	11	1	6	0	0	12	11	0	124	5	1	0	4	0	0	0	0	0	0	0	15	0	0	0	0	8	1	0	0	220	17	6	861	0	11	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	18	0	0	0	0	0	0	0	0	0	11	5	1	2329	27	19	7	0	0	2	2	3	2	1	1	0	0	0	0	3	0	1	0	0	0	12	0	2	0	0	0	0	0	4	0	1	0	0	0	2	0	20	9	1	0	3	0	5	1	0	0	4	0	0	0	1	2	75	79	10	0	0	1	1	3	0	0	0	0	0	0	1	8	0	0	1	0	1	0	0	0	0	1	10	78	0	1	0	3	0	0	0	264	28	18	3	2	1	7	0	4	2	0	1	0	1	0	200	2	8	0	0	0	39	0	0	0	6	0	81	0	0	0	0	0	25	0	0	0	0	0	0	0	8	0	0	0	0	3	0	9	0	0	0	0	7	0	12	0	0	0	0	5	0	6	2	0	0	0	0	0	0	0	0	7	18	4	0	1	1	0	0	0	0	33	0	0	10	6	25	61	200	24	2	6	7	0	13	5	3	0	1	0	3	2	1	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
