name	phylum	class	order	family	genus	species
Cluster_1	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_10	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_100	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_101	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_102	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_103	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Multi-affiliation
Cluster_104	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_107	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_108	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_11	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_110	Ascomycota	Pezizomycotina	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Multi-affiliation
Cluster_112	Ascomycota	undefined	undefined	undefined	undefined	Lunulospora
Cluster_113	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_114	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_115	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_117	Ascomycota	undefined	undefined	undefined	undefined	Phaeomoniella
Cluster_118	Zygomycota	Zoopagomycotina	undefined	Zoopagales	Piptocephalidaceae	Syncephalis
Cluster_119	Zygomycota	Mucoromycotina	undefined	Mucorales	Mucoraceae	Actinomucor
Cluster_12	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella
Cluster_120	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_122	Basidiomycota	undefined	Tremellomycetes	Tremellales	Syzygosporaceae	Syzygospora
Cluster_125	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_127	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Multi-affiliation
Cluster_128	Ascomycota	Pezizomycotina	Leotiomycetes	undefined	Erysiphaceae	Blumeria
Cluster_129	Ascomycota	Pezizomycotina	Leotiomycetes	undefined	Erysiphaceae	Blumeria
Cluster_131	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Multi-affiliation
Cluster_134	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_135	Basidiomycota	Pucciniomycotina	undefined	Pucciniales	Multi-affiliation	Multi-affiliation
Cluster_136	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_137	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_138	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation
Cluster_139	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_140	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Multi-affiliation
Cluster_141	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps
Cluster_142	Glomeromycota	undefined	Glomeromycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_144	Ascomycota	Pezizomycotina	Sordariomycetes	undefined	undefined	Lentomitella
Cluster_145	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_146	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella
Cluster_148	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_149	Basidiomycota	Pucciniomycotina	Agaricostilbomycetes	undefined	undefined	Multi-affiliation
Cluster_150	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_151	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium
Cluster_152	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_154	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Multi-affiliation	Multi-affiliation
Cluster_155	Basidiomycota	undefined	Agaricomycetes	Polyporales	Lachnocladiaceae	Scytinostroma
Cluster_156	Basidiomycota	undefined	Agaricomycetes	Trechisporales	''Trechisporaceae''	Trechispora
Cluster_158	Basidiomycota	undefined	Tremellomycetes	Tremellales	Tremellaceae	undefined
Cluster_16	Basidiomycota	undefined	Agaricomycetes	Agaricales	Multi-affiliation	Multi-affiliation
Cluster_160	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_162	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Cluster_163	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Multi-affiliation
Cluster_166	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella
Cluster_167	Basidiomycota	Pucciniomycotina	Agaricostilbomycetes	undefined	undefined	Sporobolomyces
Cluster_168	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_171	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps
Cluster_172	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_173	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_174	Basidiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_177	Ascomycota	undefined	undefined	undefined	undefined	Multi-affiliation
Cluster_178	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	Bullera
Cluster_179	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_18	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_180	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Multi-affiliation	Multi-affiliation
Cluster_181	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Ascobolaceae	Saccobolus
Cluster_182	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_184	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium
Cluster_185	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined
Cluster_186	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_187	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_189	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_19	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Geopyxis
Cluster_190	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_191	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_193	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_196	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_197	Zygomycota	Mucoromycotina	undefined	Mucorales	Mucoraceae	Actinomucor
Cluster_198	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pezizaceae	Multi-affiliation
Cluster_199	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Rhizophlyctis
Cluster_2	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Multi-affiliation	Multi-affiliation
Cluster_20	Ascomycota	undefined	undefined	undefined	undefined	undefined
Cluster_200	Basidiomycota	Pucciniomycotina	undefined	Sporidiobolales	undefined	Sporobolomyces
Cluster_201	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation
Cluster_202	Zygomycota	Kickxellomycotina	undefined	Kickxellales	Kickxellaceae	Mycoemilia
Cluster_203	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_209	Ascomycota	Pezizomycotina	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_210	Basidiomycota	undefined	Agaricomycetes	Agaricales	Agaricaceae	Agaricus
